constrset,inst,index,x,y,valid
constr_1_0384,t1i1r13,20,34,8,1
constr_1_0384,t1i1r13,21,34,10,1
constr_1_0384,t1i1r13,22,34,12,1
constr_1_0384,t1i1r13,23,34,14,1
constr_1_0384,t1i1r13,24,34,16,1
constr_1_0384,t1i1r13,25,34,18,1
constr_1_0384,t1i1r13,26,34,20,1
constr_1_0384,t1i1r13,27,34,22,1
constr_1_0384,t1i1r13,28,34,24,1
constr_1_0384,t1i1r13,29,34,26,1
constr_1_0384,t1i1r13,30,34,28,1
constr_1_0384,t1i1r13,31,34,30,1
constr_1_0416,t1i1r14,0,34,32,1
constr_1_0416,t1i1r14,1,34,34,1
constr_1_0416,t1i1r14,2,34,36,1
constr_1_0416,t1i1r14,3,34,38,1
constr_1_0416,t1i1r14,4,34,40,1
constr_1_0416,t1i1r14,5,34,42,1
constr_1_0416,t1i1r14,6,34,44,1
constr_1_0416,t1i1r14,7,34,46,1
constr_1_0416,t1i1r14,8,34,48,1
constr_1_0416,t1i1r14,9,36,0,1
constr_1_0416,t1i1r14,10,36,2,1
constr_1_0416,t1i1r14,11,36,4,1
constr_1_0416,t1i1r14,12,36,6,1
constr_1_0416,t1i1r14,13,36,8,1
constr_1_0416,t1i1r14,14,36,10,1
constr_1_0416,t1i1r14,15,36,12,1
constr_1_0416,t1i1r14,16,36,14,1
constr_1_0416,t1i1r14,17,36,16,1
constr_1_0416,t1i1r14,18,36,18,1
constr_1_0416,t1i1r14,19,36,20,1
constr_1_0416,t1i1r14,20,36,22,1
constr_1_0416,t1i1r14,21,36,24,1
constr_1_0416,t1i1r14,22,36,26,1
constr_1_0416,t1i1r14,23,36,28,1
constr_1_0416,t1i1r14,24,36,30,1
constr_1_0416,t1i1r14,25,36,32,1
constr_1_0416,t1i1r14,26,36,34,1
constr_1_0416,t1i1r14,27,36,36,1
constr_1_0416,t1i1r14,28,36,38,1
constr_1_0416,t1i1r14,29,36,40,1
constr_1_0416,t1i1r14,30,36,42,1
constr_1_0416,t1i1r14,31,36,44,1
constr_1_0448,t1i1r15,0,36,46,1
constr_1_0448,t1i1r15,1,36,48,1
constr_1_0448,t1i1r15,2,38,0,1
constr_1_0448,t1i1r15,3,38,2,1
constr_1_0448,t1i1r15,4,38,4,1
constr_1_0448,t1i1r15,5,38,6,1
constr_1_0448,t1i1r15,6,38,8,1
constr_1_0448,t1i1r15,7,38,10,1
constr_1_0448,t1i1r15,8,38,12,1
constr_1_0448,t1i1r15,9,38,14,1
constr_1_0448,t1i1r15,10,38,16,1
constr_1_0448,t1i1r15,11,38,18,1
constr_1_0448,t1i1r15,12,38,20,1
constr_1_0448,t1i1r15,13,38,22,1
constr_1_0448,t1i1r15,14,38,24,1
constr_1_0448,t1i1r15,15,38,26,1
constr_1_0448,t1i1r15,16,38,28,1
constr_1_0448,t1i1r15,17,38,30,1
constr_1_0448,t1i1r15,18,38,32,1
constr_1_0448,t1i1r15,19,38,34,1
constr_1_0448,t1i1r15,20,38,36,1
constr_1_0448,t1i1r15,21,38,38,1
constr_1_0448,t1i1r15,22,38,40,1
constr_1_0448,t1i1r15,23,38,42,1
constr_1_0448,t1i1r15,24,38,44,1
constr_1_0448,t1i1r15,25,38,46,1
constr_1_0448,t1i1r15,26,38,48,1
constr_1_0448,t1i1r15,27,40,0,1
constr_1_0448,t1i1r15,28,40,2,1
constr_1_0448,t1i1r15,29,40,4,1
constr_1_0448,t1i1r15,30,40,6,1
constr_1_0448,t1i1r15,31,40,8,1
constr_1_0480,t1i1r16,0,40,10,1
constr_1_0480,t1i1r16,1,40,12,1
constr_1_0480,t1i1r16,2,40,14,1
constr_1_0480,t1i1r16,3,40,16,1
constr_1_0480,t1i1r16,4,40,18,1
constr_1_0480,t1i1r16,5,40,20,1
constr_1_0480,t1i1r16,6,40,22,1
constr_1_0480,t1i1r16,7,40,24,1
constr_1_0480,t1i1r16,8,40,26,1
constr_1_0480,t1i1r16,9,40,28,1
constr_1_0480,t1i1r16,10,40,30,1
constr_1_0480,t1i1r16,11,40,32,1
constr_1_0480,t1i1r16,12,40,34,1
constr_1_0480,t1i1r16,13,40,36,1
constr_1_0480,t1i1r16,14,40,38,1
constr_1_0480,t1i1r16,15,40,40,1
constr_1_0480,t1i1r16,16,40,42,1
constr_1_0480,t1i1r16,17,40,44,1
constr_1_0480,t1i1r16,18,40,46,1
constr_1_0480,t1i1r16,19,40,48,1
constr_1_0480,t1i1r16,20,42,0,1
constr_1_0480,t1i1r16,21,42,2,1
constr_1_0480,t1i1r16,22,42,4,1
constr_1_0480,t1i1r16,23,42,6,1
constr_1_0480,t1i1r16,24,42,8,1
constr_1_0480,t1i1r16,25,42,10,1
constr_1_0480,t1i1r16,26,42,12,1
constr_1_0480,t1i1r16,27,42,14,1
constr_1_0480,t1i1r16,28,42,16,1
constr_1_0480,t1i1r16,29,42,18,1
constr_1_0480,t1i1r16,30,42,20,1
constr_1_0480,t1i1r16,31,42,22,1
constr_1_0512,t1i1r17,0,42,24,1
constr_1_0512,t1i1r17,1,42,26,1
constr_1_0512,t1i1r17,2,42,28,1
constr_1_0512,t1i1r17,3,42,30,1
constr_1_0512,t1i1r17,4,42,32,1
constr_1_0512,t1i1r17,5,42,34,1
constr_1_0512,t1i1r17,6,42,36,1
constr_1_0512,t1i1r17,7,42,38,1
constr_1_0512,t1i1r17,8,42,40,1
constr_1_0512,t1i1r17,9,42,42,1
constr_1_0512,t1i1r17,10,42,44,1
constr_1_0512,t1i1r17,11,42,46,1
constr_1_0512,t1i1r17,12,42,48,1
constr_1_0512,t1i1r17,13,44,0,1
constr_1_0512,t1i1r17,14,44,2,1
constr_1_0512,t1i1r17,15,44,4,1
constr_1_0512,t1i1r17,16,44,6,1
constr_1_0512,t1i1r17,17,44,8,1
constr_1_0512,t1i1r17,18,44,10,1
constr_1_0512,t1i1r17,19,44,12,1
